;percentil;window_up;window_down;allocator_model;rebal_frequency;annual_sharpe_ratio
0;10;22;44;risk_parity;m;0,37
1;10;22;66;risk_parity;m;0,47
2;10;22;88;risk_parity;m;0,63
3;10;22;110;risk_parity;m;0,65
4;10;22;132;risk_parity;m;0,74
5;20;22;44;risk_parity;m;0,27
6;20;22;66;risk_parity;m;0,48
7;20;22;88;risk_parity;m;0,52
8;20;22;110;risk_parity;m;0,65
9;20;22;132;risk_parity;m;0,73
10;30;22;44;risk_parity;m;0,47
11;30;22;66;risk_parity;m;0,42
12;30;22;88;risk_parity;m;0,56
13;30;22;110;risk_parity;m;0,65
14;30;22;132;risk_parity;m;0,77
15;40;22;44;risk_parity;m;0,49
16;40;22;66;risk_parity;m;0,54
17;40;22;88;risk_parity;m;0,57
18;40;22;110;risk_parity;m;0,58
19;40;22;132;risk_parity;m;0,7
20;50;22;44;risk_parity;m;0,5
21;50;22;66;risk_parity;m;0,54
22;50;22;88;risk_parity;m;0,57
23;50;22;110;risk_parity;m;0,59
24;50;22;132;risk_parity;m;0,71
25;60;22;44;risk_parity;m;0,49
26;60;22;66;risk_parity;m;0,53
27;60;22;88;risk_parity;m;0,61
28;60;22;110;risk_parity;m;0,61
29;60;22;132;risk_parity;m;0,63
30;70;22;44;risk_parity;m;0,55
31;70;22;66;risk_parity;m;0,46
32;70;22;88;risk_parity;m;0,6
33;70;22;110;risk_parity;m;0,6
34;70;22;132;risk_parity;m;0,58
35;80;22;44;risk_parity;m;0,53
36;80;22;66;risk_parity;m;0,53
37;80;22;88;risk_parity;m;0,54
38;80;22;110;risk_parity;m;0,57
39;80;22;132;risk_parity;m;0,52
40;90;22;44;risk_parity;m;0,5
41;90;22;66;risk_parity;m;0,5
42;90;22;88;risk_parity;m;0,53
43;90;22;110;risk_parity;m;0,53
44;90;22;132;risk_parity;m;0,5
45;10;22;44;1/n;m;0,47
46;10;22;66;1/n;m;0,5
47;10;22;88;1/n;m;0,66
48;10;22;110;1/n;m;0,74
49;10;22;132;1/n;m;0,78
50;20;22;44;1/n;m;0,35
51;20;22;66;1/n;m;0,46
52;20;22;88;1/n;m;0,58
53;20;22;110;1/n;m;0,68
54;20;22;132;1/n;m;0,76
55;30;22;44;1/n;m;0,49
56;30;22;66;1/n;m;0,43
57;30;22;88;1/n;m;0,59
58;30;22;110;1/n;m;0,68
59;30;22;132;1/n;m;0,77
60;40;22;44;1/n;m;0,46
61;40;22;66;1/n;m;0,52
62;40;22;88;1/n;m;0,57
63;40;22;110;1/n;m;0,63
64;40;22;132;1/n;m;0,72
65;50;22;44;1/n;m;0,45
66;50;22;66;1/n;m;0,53
67;50;22;88;1/n;m;0,57
68;50;22;110;1/n;m;0,62
69;50;22;132;1/n;m;0,69
70;60;22;44;1/n;m;0,48
71;60;22;66;1/n;m;0,52
72;60;22;88;1/n;m;0,58
73;60;22;110;1/n;m;0,59
74;60;22;132;1/n;m;0,63
75;70;22;44;1/n;m;0,51
76;70;22;66;1/n;m;0,45
77;70;22;88;1/n;m;0,55
78;70;22;110;1/n;m;0,58
79;70;22;132;1/n;m;0,56
80;80;22;44;1/n;m;0,49
81;80;22;66;1/n;m;0,49
82;80;22;88;1/n;m;0,52
83;80;22;110;1/n;m;0,56
84;80;22;132;1/n;m;0,51
85;90;22;44;1/n;m;0,47
86;90;22;66;1/n;m;0,48
87;90;22;88;1/n;m;0,53
88;90;22;110;1/n;m;0,52
89;90;22;132;1/n;m;0,5
